date,data
2019-01-19 00:00:00,"2.454.652.032.772.220.000,00"
2019-01-19 01:00:00,"2.302.487.571.744.030.000,00"
2019-01-19 02:00:00,"2.163.067.351.839.920.000,00"
2019-01-19 03:00:00,"2.086.953.261.851.190.000,00"
2019-01-19 04:00:00,"2.060.719.737.214.440.000,00"
2019-01-19 05:00:00,"207.348.771.500.094.000,00"
2019-01-19 06:00:00,"2.117.109.653.528.460.000,00"
2019-01-19 07:00:00,"2.207.259.421.532.640.000,00"
2019-01-19 08:00:00,"228.886.480.335.037.000,00"
2019-01-19 09:00:00,"2.341.057.843.091.240.000,00"
2019-01-19 10:00:00,"2.373.499.633.116.610.000,00"
2019-01-19 11:00:00,"2.376.819.877.743.030.000,00"
2019-01-19 12:00:00,"2.342.243.412.663.180.000,00"
2019-01-19 13:00:00,"2.352.053.062.234.910.000,00"
2019-01-19 14:00:00,"2.356.993.898.155.000.000,00"
2019-01-19 15:00:00,"2.403.815.592.927.500.000,00"
2019-01-19 16:00:00,"2.480.669.851.617.480.000,00"
2019-01-19 17:00:00,"2.562.139.492.217.470.000,00"
2019-01-19 18:00:00,"2.614.010.327.073.150.000,00"
2019-01-19 19:00:00,"2.612.193.163.723.470.000,00"
2019-01-19 20:00:00,"257.942.519.766.026.000,00"
2019-01-19 21:00:00,"2.504.776.192.237.700.000,00"
2019-01-19 22:00:00,"239.287.371.358.415.000,00"
2019-01-19 23:00:00,"2.286.352.778.541.000.000,00"
2019-01-20 00:00:00,"222.758.468.331.250.000,00"
2019-01-20 01:00:00,"211.591.289.252.633.000,00"
2019-01-20 02:00:00,"1.999.859.025.048.140.000,00"
2019-01-20 03:00:00,"1.941.098.781.871.460.000,00"
2019-01-20 04:00:00,"1.931.803.216.060.530.000,00"
2019-01-20 05:00:00,"193.046.268.128.190.000,00"
2019-01-20 06:00:00,"195.415.223.138.116.000,00"
